score,run,niche,niche_source,niche_confidence,company,domain,segment,revenue_eur,employees,y_tunnus,google_ads,conv_tracking,meta_pixel,quality_issues,issue_flags,platform,email,phone,city,google_verified_live,google_advertiser_name,ads_status,advertiser_reconciliation,advertiser_match_score
61,resultsd,cleaning,keywords,0.5,Omenasiivous,omenasiivous.fi,A_ads_weak_site,,,,True,False,True,2,"no_h1,slow_response",wordpress,,,,True,Omenasiivous Oy,LIVE_CONFIRMED,match,1.00
61,resultsd,electrical,keywords,0.5,Meredin,meredin.fi,A_ads_weak_site,,,,True,False,True,2,"no_h1,slow_response",,,,,True,Marina Pargas Ab,ADVERTISER_MISMATCH,mismatch,0.40
55,resultsd,,none,0.0,Oy Maritim Ab,maritim.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,,True,Oy Maritim Ab,LIVE_CONFIRMED,match,1.00
49,resultsd,restaurant,keywords,0.5,Let's Go Taksi,letsgo.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,wordpress,,,,True,DRide Oy,ADVERTISER_MISMATCH,mismatch,0.11
49,resultsd,electrical,keywords,0.5,AM-Sähkö Oy,amsahko.net,A_ads_weak_site,,,,True,False,False,2,"no_meta_description,no_h1",wordpress,,,,True,"ADVERT.IO, S.A",ADVERTISER_MISMATCH,mismatch,0.40
49,resultsd,hvac,keywords,0.65,Smart Heating Oy Pirkanmaa,smartheating.fi,A_ads_weak_site,,,,True,False,False,2,"stale_copyright,slow_response",wordpress,,,,True,Smart Heating Oy,LIVE_CONFIRMED,match,0.72
49,resultsd,,none,0.0,Etalo Isännöinti Oy,etalo.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,wordpress,,,,True,eTalo Isännöinti Oy,LIVE_CONFIRMED,match,1.00
49,resultsd,cleaning,keywords,0.5,ServiceOne,serviceone.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,wordpress,,,,True,A&A Palvelut Oy,ADVERTISER_MISMATCH,mismatch,0.09
49,resultsd,plumbing,keywords,0.5,Suunnos Oy,suunnos.fi,A_ads_weak_site,,,,True,False,False,2,"stale_copyright,slow_response",webflow,,,,True,Medialuotsi OY,LIVE_CONFIRMED,likely_agency,0.11
49,resultsd,cleaning,keywords,0.5,Pikkuapu,pikkuapu.fi,A_ads_weak_site,,,,True,False,False,2,"stale_copyright,slow_response",,,,,True,Madleena Anne Marina Konttinen,ADVERTISER_MISMATCH,mismatch,0.11
48,resultsd,plumbing,keywords,0.5,Lahden Putkihuolto Oy,lph.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Keskisuomalainen Oyj,ADVERTISER_MISMATCH,mismatch,0.24
48,resultsd,,none,0.0,Kemiönsaaren Venekeskus Oy,venekeskus.com,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,,True,Kemiönsaaren Venekeskus Oy,LIVE_CONFIRMED,match,1.00
48,resultsd,cleaning,keywords,0.5,Kalmasiivous Vantaa Optimasiivous Oy,optimasiivous.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Optimasiivous Oy,ADVERTISER_MISMATCH,mismatch,0.57
48,resultsd,cleaning,keywords,0.5,Freesikoti Oy,freesikoti.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,,True,Freesikoti Oy,LIVE_CONFIRMED,match,1.00
48,resultsd,cleaning,keywords,0.5,Helpmax Siivouspalvelut,helpmax.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,CURU Oy,ADVERTISER_MISMATCH,mismatch,0.15
43,resultsd,plumbing,keywords,0.5,Lämpövelho Oy,lampovelho.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,,,,,True,Lämpövelho Oy,LIVE_CONFIRMED,match,1.00
43,resultsd,accounting,keywords,0.5,REIM Lappeenranta Oy Ltd,reim.fi,B_ads_no_conv_tracking,,,,True,False,False,1,no_meta_description,wordpress,,,,True,REIM Pääkaupunkiseutu Oy,ADVERTISER_MISMATCH,mismatch,0.39
43,resultsd,accounting,keywords,0.65,Jokilaakson Taloustaitaja Oy,taloustaitaja.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Tirri Tomi,ADVERTISER_MISMATCH,mismatch,0.29
43,resultsd,cleaning,keywords,0.5,WASH UP!,washup.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,WashUP Oy,ADVERTISER_MISMATCH,mismatch,0.62
43,resultsd,electrical,keywords,0.5,LämpöWire Oy,elfin.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Elfin,ADVERTISER_MISMATCH,mismatch,0.29
43,resultsd,cleaning,keywords,0.5,Siivouspalvelu Aton-yhtiöt,aton.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Aton Oy,ADVERTISER_MISMATCH,mismatch,0.27
43,resultsd,,none,0.0,PKH Siekkinen Oy,pienkonehuoltosiekkinen.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,,,,,True,Pienkonehuolto Siekkinen Oy,ADVERTISER_MISMATCH,mismatch,0.70
43,resultsd,real_estate,schema_org,0.95,Asuntopehtoori Isännöinti Oy,asuntopehtoori.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Asuntopehtoori,ADVERTISER_MISMATCH,mismatch,0.72
43,resultsd,cleaning,keywords,0.5,TilaaSiivous,tilaasiivous.com,B_ads_no_conv_tracking,,,,True,False,False,1,no_h1,wordpress,,,,True,Ardit Azemi,ADVERTISER_MISMATCH,mismatch,0.17
43,resultsd,plumbing,keywords,0.5,Insinööritoimisto Putkimaailma Oy,putkimaailma.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Medialuotsi OY,LIVE_CONFIRMED,likely_agency,0.15
43,resultsd,,none,0.0,Suomen Alitustekniikka Oy,alitustekniikka.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Fonecta Oy,ADVERTISER_MISMATCH,mismatch,0.07
43,resultsd,plumbing,keywords,0.5,Vaaratek,vaaratek.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,,,,,True,Vaaratek,LIVE_CONFIRMED,match,1.00
43,resultsd,hvac,schema_org,0.95,V-S Energiatalo Oy,vsenergiatalo.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,VS-Energiatalo Oy,LIVE_CONFIRMED,match,0.90
43,resultsd,cleaning,keywords,0.5,Safai Siivouspalvelut,safai.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,nextjs,,,,True,Deepesh Kalura,ADVERTISER_MISMATCH,mismatch,0.29
43,resultsd,cleaning,keywords,0.5,vapaa-aika.com,vapaa-aika.com,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,,,,,True,Vapaa-ajan tarviketalo AK&Co Oy,ADVERTISER_MISMATCH,mismatch,0.52
43,resultsd,cleaning,keywords,0.5,TEN-Yhtiö Oy,tenyhtio.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,TEN-yhtiö Oy,LIVE_CONFIRMED,match,1.00
43,resultsd,cleaning,keywords,0.5,GreenVibe Palvelut Oy,greenvibe.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,GreenVibe Palvelut Oy,LIVE_CONFIRMED,match,1.00
42,resultsd,,none,0.0,DSV Air & Sea Oy,dsv.com,A_ads_weak_site,,,,True,True,False,2,"no_meta_description,slow_response",,,,,True,DSV ROAD S.R.L,ADVERTISER_MISMATCH,mismatch,0.40
42,resultsd,cleaning,keywords,0.5,Pirkanmaan Laatuisännöinti Oy,pirkanmaanlaatuisannointi.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,,True,Joni Ilari Brander,ADVERTISER_MISMATCH,mismatch,0.18
42,resultsd,,none,0.0,Kontu Isännöinti Oy,kontuoy.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,,True,MTR-Isännöinti Oy,LIVE_CONFIRMED,match,0.80
42,resultsd,plumbing,keywords,0.5,K&T Pipe Oy,ktpipe.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,,True,K&T Pipe Oy,LIVE_CONFIRMED,match,1.00
42,resultsd,hvac,keywords,0.5,Rakenne Center,rakennecenter.fi,C_ads_ok_site,,,,True,True,True,0,,,,,,True,Riku Latvala,ADVERTISER_MISMATCH,mismatch,0.31
42,resultsd,,none,0.0,M-Kone,mkone.fi,A_ads_weak_site,,,,True,True,False,2,"no_h1,slow_response",,,,,True,M-Kone,LIVE_CONFIRMED,match,1.00
42,resultsd,cleaning,keywords,0.5,Siivouspalvelu - Arvojes Oy,arvojes.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,,True,Arvojes Oy,ADVERTISER_MISMATCH,mismatch,0.48
37,resultsd,hvac,keywords,0.65,Lapin Lvi-Asennus Oy,lapinlviasennus.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Lapin LVI-asennu Oy,LIVE_CONFIRMED,match,0.97
37,resultsd,cleaning,keywords,0.5,Loiste Siivous Oy,loistesiivous.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Loiste Siivous Oy,LIVE_CONFIRMED,match,1.00
37,resultsd,,none,0.0,Oulun Porrassiivous,finder.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,nextjs,,,,True,Dagmar Scale Oy,ADVERTISER_MISMATCH,mismatch,0.06
37,resultsd,hvac,keywords,0.65,LVI-suunnittelu Center Oy,lvisuunnittelucenter.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Sähkömatti Oy,ADVERTISER_MISMATCH,mismatch,0.25
37,resultsd,plumbing,keywords,0.5,Piirosto Oy,piirosto.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Piirosto Oy,LIVE_CONFIRMED,match,1.00
37,resultsd,,none,0.0,Suomen Pumppaamo-Muovitekniikka Oy,spm-tekniikka.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,,,,,True,Teemu Aleksi Suhonen,ADVERTISER_MISMATCH,mismatch,0.35
37,resultsd,laundry,keywords,0.5,Maanrakennus Pajunen,maanrakennuspajunen.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,,,,,True,Maanrakennus Pajunen avoin yhtiö,LIVE_CONFIRMED,match,0.78
37,resultsd,cleaning,keywords,0.5,CLEANii koti- ja siivouspalvelu,cleanii.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Medialuotsi OY,LIVE_CONFIRMED,likely_agency,0.24
37,resultsd,cleaning,keywords,0.5,Puhtosin Oy,puhtosin.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Puhtosin Oy,LIVE_CONFIRMED,match,1.00
37,resultsd,cleaning,keywords,0.5,Tasolaiset Tampere Oy,tasolaiset.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Tasolaiset Oy,ADVERTISER_MISMATCH,mismatch,0.71
37,resultsd,,none,0.0,Veneveistämö VeneVa,veneva.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,,,,,True,Fonecta Oy,ADVERTISER_MISMATCH,mismatch,0.24
36,resultsd,,none,0.0,Läänin Kuljetus Oy,laaninkuljetus.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Läänin Kuljetus Oy,LIVE_CONFIRMED,match,1.00
36,resultsd,,none,0.0,Kaukokiito Eura,kaukokiito.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Suomen Kaukokiito Oy,ADVERTISER_MISMATCH,mismatch,0.62
36,resultsd,accounting,keywords,0.5,Helsingin Seudun Isännöitsijät Oy,hsi.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,,True,ESKO JUHANI PIETIKÄINEN,ADVERTISER_MISMATCH,mismatch,0.42
36,resultsd,,none,0.0,Fluxio Isännöinti Oy,fluxioisannointi.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Fluxio Isännöinti Oy,LIVE_CONFIRMED,match,1.00
36,resultsd,,none,0.0,Aamu & Isännöintipiste Oy,isannointipiste.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Ainoa & Co Oy,ADVERTISER_MISMATCH,mismatch,0.29
36,resultsd,,none,0.0,Raymarine Finland Oy,raymarine.com,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,,True,"Flir Systems, Inc.",ADVERTISER_MISMATCH,mismatch,0.36
36,resultsd,hvac,keywords,0.65,AE Engineering Oy,heatco.fi,C_ads_ok_site,,,,True,True,False,1,no_h1,wordpress,,,,True,Heatco Finland Oy,ADVERTISER_MISMATCH,mismatch,0.21
36,resultsd,,none,0.0,Lännen Isännöintipalvelu Oy,lipalvelu.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Lännen Isännöintipalvelu Oy,LIVE_CONFIRMED,match,1.00
36,resultsd,cleaning,keywords,0.5,Lempi Kodinhoito Oy Tampere,lempi.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,,True,Lempi Kodinhoito Oy,LIVE_CONFIRMED,match,0.80
36,resultsd,,none,0.0,Pesurivuokraus,pesurivuokraus.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,,True,Wise Rental Services Oy,ADVERTISER_MISMATCH,mismatch,0.24
36,resultsd,restaurant,keywords,0.5,Isännöitsijätoimisto Fallenius Oy,fallenius.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Fluxio Isännöinti Oy,ADVERTISER_MISMATCH,mismatch,0.43
36,resultsd,cleaning,keywords,0.5,Koti Puhtaaksi Oy,kotipuhtaaksi.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Sahera Koti Puhtaaksi Oy,LIVE_CONFIRMED,match,0.80
36,resultsd,cleaning,keywords,0.5,Pohjanmaan Siivous Oy,pohjanmaansiivous.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Pohjanmaan Siivous Oy,LIVE_CONFIRMED,match,1.00
36,resultsd,cleaning,keywords,0.5,Huoltosiivous Turku Oy,huoltosiivous.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,,True,Huoltosiivous Turku Oy,LIVE_CONFIRMED,match,1.00
36,resultsd,cleaning,keywords,0.5,Kodinhoitajapäiväksi - Kodin siivouspalvelu,kodinhoitajapaivaksi.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Inkan Kotitalouspalvelut Oy,ADVERTISER_MISMATCH,mismatch,0.58
36,resultsd,,none,0.0,Boatslice Oy,boatslice.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,,True,Boatslice Oy,LIVE_CONFIRMED,match,1.00
36,resultsd,plumbing,keywords,0.5,LVI-Sasto Oy,lvi-sasto.com,C_ads_ok_site,,,,True,True,False,1,no_h1,wordpress,,,,True,Lvi-Sasto Oy,LIVE_CONFIRMED,match,1.00
36,resultsd,cleaning,keywords,0.5,Siivouspalvelu Tupla-Luuta Oy,tuplaluuta.fi,C_ads_ok_site,,,,True,True,False,1,no_h1,wordpress,,,,True,Design Inspis Oy,ADVERTISER_MISMATCH,mismatch,0.26
36,resultsd,hvac,keywords,0.65,Teljän Energiatekniikka,teljanet.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Teljän energiatekniikka,LIVE_CONFIRMED,match,1.00
36,resultsd,restaurant,keywords,0.5,Paloturvasuunnittelu Block Oy,paloturvasuunnittelu.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Medialuotsi OY,LIVE_CONFIRMED,likely_agency,0.32
36,resultsd,cleaning,keywords,0.5,IsoJoo! -palvelut,isojoo.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,,True,Vertigo Nordic Oy,ADVERTISER_MISMATCH,mismatch,0.34
36,resultsd,cleaning,keywords,0.5,Näsin Siivous Tmi,nasinsiivous.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,advert.io lda,ADVERTISER_MISMATCH,mismatch,0.31
36,resultsd,cleaning,keywords,0.5,Clean Spot Oy,cleanspot.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Cleanspot Oy,LIVE_CONFIRMED,match,0.95
36,resultsd,cleaning,keywords,0.5,Siivouspalvelu Kari Toivonen,yrityssiivoushelsinki.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,,True,Kari Toivonen,ADVERTISER_MISMATCH,mismatch,0.63
36,resultsd,cleaning,keywords,0.5,Siivous Eliitti- Kotisiivous Ullanlinna,siivouseliitti.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Huolto Eliitti Oy,ADVERTISER_MISMATCH,mismatch,0.42
36,resultsd,cleaning,keywords,0.5,Trinomi Siivouspalvelut,trinomi.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,,True,Siivouspalvelu Trinomi Oy,LIVE_CONFIRMED,match,0.98
36,resultsd,cleaning,keywords,0.5,Pirkanmaan Duo siivouspalvelut Oy,duosiivouspalvelut.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Iasy Oy,ADVERTISER_MISMATCH,mismatch,0.18
36,resultsd,hvac,keywords,0.5,Safety At Sea Finland Marnela Oy Ltd,marnela.com,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,,True,Safety at Sea Finland Marnela Oy Ltd,LIVE_CONFIRMED,match,1.00
30,resultsd,plumbing,keywords,0.5,Retta Isännöinti Oy,retta.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,,True,Retta Services Oy,ADVERTISER_MISMATCH,mismatch,0.33
30,resultsd,,none,0.0,Maansiirto Harry Mäkelä Oy,maansiirtomakela.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,,True,Maansiirto Harry Mäkelä Oy,LIVE_CONFIRMED,match,1.00
30,resultsd,real_estate,keywords,0.5,Kiinteistö-Tahkola Rovaniemi Oy,kiinteistotahkola.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,,True,Kiinteistö-Tahkola Helsinki Oy,ADVERTISER_MISMATCH,mismatch,0.64
30,resultsd,accounting,keywords,0.5,OIT Isännöinti Oy,oit.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,,True,OIT Isännöinti Oy,LIVE_CONFIRMED,match,1.00
30,resultsd,electrical,keywords,0.5,Alti-Systems Oy,alti-systems.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,,True,Alti-Systems Oy,LIVE_CONFIRMED,match,1.00
