score,run,niche,niche_source,niche_confidence,company,domain,segment,revenue_eur,employees,y_tunnus,google_ads,conv_tracking,meta_pixel,quality_issues,issue_flags,platform,email,phone,city
61,resultsd,restaurant,keywords,0.5,MMK-Kuljetus - MMK-Kuljetus Oy,mmkkuljetus.fi,A_ads_weak_site,,,,True,False,True,2,"no_meta_description,slow_response",wordpress,,,
61,resultsd,cleaning,keywords,0.5,Siivouspalvelu Kota - Kotisiivous &amp; Yrityssiivous - Turk,siivouspalvelukota.fi,A_ads_weak_site,,,,True,False,True,2,"no_h1,slow_response",wordpress,,,
61,resultsd,insurance,keywords,0.5,"Vääksyn Konepiste – Lahti Vääksy | Veneet, perämoottorit, ve",venekauppa.com,A_ads_weak_site,,,,True,False,True,2,"stale_copyright,slow_response",,,,
55,resultsd,,none,0.0,Yksityinen kotihoito ja kotipalvelut | Alina | Kotona paras,alinahoivatiimi.fi,B_ads_no_conv_tracking,,,,True,False,True,1,no_h1,,,,
55,resultsd,cleaning,keywords,0.5,Siivous Tampere ja Pirkanmaa | Hämeen Laatusiivous Oy,hameenlaatusiivous.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,
55,resultsd,,none,0.0,Maarakennus Pohjois-Pohjamaa | Luotettavat tekijät,jsinfra.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,,,,
55,resultsd,,none,0.0,Maanrakennus Oulu | Myös vaihtolavojen vuokraus,koneurakointihartikka.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,,,,
55,resultsd,hvac,keywords,0.65,LVI-Asiantuntija Oy | LVI-Asiantuntijasi Etelä-Pohjanmaalla,lviasiantuntija.fi,B_ads_no_conv_tracking,,,,True,False,True,1,stale_copyright,wordpress,,,
55,resultsd,cleaning,keywords,0.5,Siivouspalvelut Espoo | Koti- ja yrityssiivousta,mmsiivouspalvelut.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,,,,
55,resultsd,hotel,keywords,0.65,Siivouspalvelut yrityksille | N-Clean Oy,nclean.fi,B_ads_no_conv_tracking,,,,True,False,True,1,stale_copyright,wordpress,,,
55,resultsd,,none,0.0,Maijasto,maijasto.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,squarespace,,,
55,resultsd,,none,0.0,Lattialämmitys tuo lämpöä ja viihtyisyyttä kotiin | Nero Lat,neroll.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,
