domain,segment,aspakone_segment,niche,niche_source,niche_confidence,ecom_platforms,payment_providers,is_webshop,chat_vendors,google_ads,google_conv_tracking,aw_ids,meta_pixel,meta_pixel_ids,bing_uet,linkedin,quality_issues,favicon_missing,no_meta_description,no_viewport,stale_copyright,slow_response,platform,response_ms,title,company,error
letsgo.fi,C_ads_ok_site,S2_advertiser,restaurant,keywords,0.5,,,False,,True,True,AW-578502861,True,1845729189345803,False,False,0,False,False,False,False,False,wordpress,2350,Etusivu - Let&#039;s GO TAKSI,Let's Go Taksi,
retta.fi,C_ads_ok_site,S2_advertiser,plumbing,keywords,0.5,,,False,,True,True,AW-968445745,True,,False,False,0,False,False,False,False,False,wordpress,1473,Retta Isännöinti: Yhdessä askeleen edellä,Retta Isännöinti Oy,
sktrengas.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,0,False,False,False,False,False,,2269,Kokkolasta traktorin renkaat koko Suomeen | SKT-rengas,SKT-Rengas Oulu,
maansiirtomakela.fi,C_ads_ok_site,S2_advertiser,,none,0.0,woocommerce,,False,,True,True,10231417 10231425 10231433 10231441 10231449 10231457 10231473 745664245,True,,False,False,0,False,False,False,False,False,wordpress,1824,Etusivu - Maansiirto Harry Mäkelä,Maansiirto Harry Mäkelä Oy,
amsahko.net,A_ads_weak_site,S2_advertiser,electrical,keywords,0.5,,,False,,True,True,AW-10933291026,False,,False,False,2,False,True,False,False,False,wordpress,2484,Etusivu - AM-Sähkö Oy,AM-Sähkö Oy,
neroll.fi,B_ads_no_conv_tracking,S1_webshop,,none,0.0,woocommerce,,True,,True,False,,True,,False,False,1,False,False,False,False,True,wordpress,2904,Lattialämmitys tuo lämpöä ja viihtyisyyttä kotiin | Nero Lattialämmitys,Nero Lattialämmitys Oy,
jsinfra.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,1,False,False,False,False,True,,3652,Maarakennus Pohjois-Pohjamaa | Luotettavat tekijät,JS-Infra,
laaninkuljetus.fi,C_ads_ok_site,S3_chat_switcher,,none,0.0,,,False,leadoo,True,True,21896113 21896121 21896129 21896137 21896145 21896153 21896161 21896169 21896177 27708625 27708633 27708641,True,,True,False,1,False,False,False,False,True,wordpress,5147,Alueellinen ykkönen - kaikki kiviainekset ja kuljetukset,Läänin Kuljetus Oy,
lahdenputkipalvelut.fi,B_ads_no_conv_tracking,S2_advertiser,plumbing,keywords,0.65,vilkas_epages,,False,,True,False,,True,,False,False,0,False,False,False,False,False,,2195,Putkityöt Lahti | Kokenut LVI-asiantuntijasi Päijät-Hämeessä,Lahden Putkipalvelut Oy,
maritim.fi,C_ads_ok_site,S1_webshop,,none,0.0,woocommerce,,True,,True,True,AW-881693196,True,472600750591300,False,False,1,False,False,False,False,True,wordpress,6708,Maritim venetarvikkeet veneilyyn ja purjehdukseen,Oy Maritim Ab,
kiinteistotahkola.fi,C_ads_ok_site,S2_advertiser,real_estate,keywords,0.5,,,False,,True,True,AW-972333071,True,,False,False,0,False,False,False,False,False,wordpress,2430,Kiinteistötahkola / Kiinteistötahkola - isännöintiä ja välitystä,Kiinteistö-Tahkola Rovaniemi Oy,
dsv.com,A_ads_weak_site,S2_advertiser,,none,0.0,,,False,,True,True,1034568545 10797748439 10816265350 14628714 14628722 14628730 17256681 17256689 17256697 27101938,True,,False,False,2,False,True,False,False,True,,3796,Global Transport and Logistics | DSV,DSV Air & Sea Oy,
kaukokiito.fi,C_ads_ok_site,S2_advertiser,,none,0.0,,,False,,True,True,AW-951407634,True,,True,False,1,False,False,False,False,True,wordpress,7582,Etusivu - Kaukokiito,Kaukokiito Eura,
sahkosaarelainen.fi,B_ads_no_conv_tracking,S2_advertiser,electrical,keywords,0.5,,,False,,True,False,,True,,False,False,1,False,False,False,False,True,wordpress,5987,Sähköliike Joensuussa - S&auml;hk&ouml;-Saarelainen Oy,Sähkö-Saarelainen Oy,
hsi.fi,C_ads_ok_site,S2_advertiser,accounting,keywords,0.5,,,False,,True,True,AW-1046194990,True,,False,False,1,False,False,False,False,True,,3138,Laadukasta isännöintipalvelua - Helsingin Seudun Isännöitsijät Oy,Helsingin Seudun Isännöitsijät Oy,
fluxioisannointi.fi,C_ads_ok_site,S3_chat_switcher,,none,0.0,,,False,leadoo,True,True,AW-850881188,True,,False,False,1,False,False,False,False,True,wordpress,3237,Isännöintitoimisto Fluxio - Fiksumpaa isännöintiä,Fluxio Isännöinti Oy,
venekauppa.com,A_ads_weak_site,S3_chat_switcher,insurance,keywords,0.5,,,False,leadoo,True,False,,True,,False,False,2,False,False,False,True,True,,6693,"Vääksyn Konepiste – Lahti Vääksy | Veneet, perämoottorit, vesijetit ja mönkijät",Vääksyn Konepiste Oy,
mmkkuljetus.fi,A_ads_weak_site,S2_advertiser,restaurant,keywords,0.5,,,False,,True,False,,True,,False,False,2,False,True,False,False,True,wordpress,9537,MMK-Kuljetus - MMK-Kuljetus Oy,MMK-Kuljetus Oy,
rakennustyohostikka.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,1,False,False,False,False,True,,2835,Maanrakennus Etelä-Suomi | Palvelemme pääkaupunkiseudulla,T. Hostikka Oy,
mrvinfra.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,1,False,False,False,False,True,,2507,Maanrakennus Pirkanmaa | Luotettavasti ja varmasti,MRV Infra Oy,
lampovelho.fi,C_ads_ok_site,S2_advertiser,plumbing,keywords,0.5,vilkas_epages,,False,,True,True,AW-358423105,True,,False,False,1,False,False,False,False,True,,2941,LVI-työt Kuopio,Lämpövelho Oy,
latvaluopa.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,0,False,False,False,False,False,,2300,Kuljetusliike Kurikka | Maa-aineskuljetukset luotettavasti,Yrjö Latva-Luopa Oy,
isannointipiste.fi,C_ads_ok_site,S3_chat_switcher,,none,0.0,,mobilepay,False,leadoo,True,True,AW-579469064,True,,True,False,1,False,False,False,False,True,wordpress,3123,Isännöintipiste – Laadukas isännöintitoimisto Vantaalla,Aamu & Isännöintipiste Oy,
tuoretie.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,,,False,,True,False,,False,,False,False,1,False,False,False,False,True,wordpress,2701,Tie tuottajilta ruokapöytiin - Tuoretie,Tuoretie Oy,
nclean.fi,B_ads_no_conv_tracking,S2_advertiser,hotel,keywords,0.65,,,False,,True,False,,True,,False,False,1,False,False,False,True,False,wordpress,1677,Siivouspalvelut yrityksille | N-Clean Oy,N-Clean Tampere,
lviasiantuntija.fi,B_ads_no_conv_tracking,S2_advertiser,hvac,keywords,0.65,woocommerce,,False,,True,False,,True,2162586134006804,False,False,1,False,False,False,True,False,wordpress,2313,LVI-Asiantuntija Oy | LVI-Asiantuntijasi Etelä-Pohjanmaalla,Lvi-Asiantuntija Oy,
alinahoivatiimi.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,,,False,,True,False,,True,1075751986892052,False,False,1,False,False,False,False,False,,1340,Yksityinen kotihoito ja kotipalvelut | Alina | Kotona paras,"Alina Kuopio, keskusta",
tarvikecenter.com,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,1,False,False,False,False,True,,3246,Koneliike Ivalo | Myynti ja huollot saman katon alta,Tarvike Center Ivalo Oy,
lph.fi,C_ads_ok_site,S3_chat_switcher,plumbing,keywords,0.5,,,False,leadoo,True,True,AW-965103251,True,621784083878350,False,False,1,False,False,False,False,True,wordpress,8155,Henkilökunta valmiina palvelukseen | Lahden Putkihuolto Oy,Lahden Putkihuolto Oy,
vuorma.fi,,,,,,,,,,,,,,,,,,,,,,,,,,Isännöinti Vuorma Oy,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
ayravainen.fi,B_ads_no_conv_tracking,S2_advertiser,hotel,keywords,0.65,,,False,,True,False,,False,,False,False,0,False,False,False,False,False,wordpress,2072,Talotekninen suunnittelu - Insinööritoimisto Äyräväinen,Äyräväinen Oy,
smartheating.fi,A_ads_weak_site,S2_advertiser,hvac,keywords,0.65,,,False,,True,True,AW-667528198 AW-845775961,False,,False,False,2,False,False,False,True,True,wordpress,5002,"Kerrostalon lämmitys, lämmön talteenotto (PILP) ja maalämpö",Smart Heating Oy Pirkanmaa,
venekeskus.com,C_ads_ok_site,S2_advertiser,,none,0.0,,,False,,True,True,AW-670372204,True,743548376591614,False,False,1,False,False,False,False,True,,3088,Täyden palvelun veneliike | Venekeskus.com,Kemiönsaaren Venekeskus Oy,
skh.fi,B_ads_no_conv_tracking,S1_webshop,,none,0.0,woocommerce,paytrail,True,,True,False,,False,,False,False,1,False,False,False,False,True,wordpress,4170,Etusivu - SKH Isännöinti Oy,SKH-Isännöinti Oy,
telila.fi,B_ads_no_conv_tracking,S1_webshop,electrical,keywords,0.5,woocommerce shopware,,True,,True,False,,False,,False,False,1,False,False,False,False,True,wordpress,4493,Telilä - Kumppani teollisuuden ja tulevaisuuden sähköurakointiin,Telilän Sähkötyö Oy,
asuville.fi,B_ads_no_conv_tracking,S3_chat_switcher,,none,0.0,vilkas_epages,paytrail,True,giosg,True,False,,True,,False,False,0,False,False,False,False,False,,1997,Isännöinti Laukaa | Täyden palvelun isännöintitoimisto,Isännöinti Asuville Oy,
mrmotors.fi,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. motors Korsnäs Oy Ab,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
siivouspalvelukota.fi,A_ads_weak_site,S1_webshop,cleaning,keywords,0.5,woocommerce shopware,,True,,True,False,,True,,False,False,2,False,False,False,False,True,wordpress,5902,Siivouspalvelu Kota - Kotisiivous &amp; Yrityssiivous - Turku,Siivouspalvelu Kota,
winclean.fi,B_ads_no_conv_tracking,S2_advertiser,cleaning,keywords,0.5,woocommerce,,False,,True,False,,True,,False,False,1,False,False,False,False,True,wordpress,6836,Teemme puhtaamman huomisen – Winclean,Winclean Oy,
pirkanmaanlaatuisannointi.fi,A_ads_weak_site,S2_advertiser,cleaning,keywords,0.5,woocommerce,,False,,True,True,11469405702,False,,False,False,2,False,False,False,True,True,wordpress,4694,Etusivu - Pirkanmaan Laatuis&auml;nn&ouml;inti Oy,Pirkanmaan Laatuisännöinti Oy,
putkiahti.fi,B_ads_no_conv_tracking,S2_advertiser,plumbing,keywords,0.5,vilkas_epages,,False,,True,False,,True,,False,False,0,False,False,False,False,False,,2308,LVI-työt Lappeenranta | Osaava LVI-asentaja palveluksessasi!,PUTKIAHTI,
rehti-isannointi.fi,B_ads_no_conv_tracking,S2_advertiser,accounting,keywords,0.5,vilkas_epages,,False,,True,False,,True,,False,False,1,False,False,False,False,True,,2611,Isännöintitoimisto ja isännöitsijä Tampereella taloyhtiöille,Rehti-Isännöinti Oy,
kontuoy.fi,A_ads_weak_site,S3_chat_switcher,,none,0.0,,,False,leadoo,True,True,979186512,True,,False,False,2,False,False,False,True,True,wordpress,21074,"Luotettavat isännöintipalvelut | Siellä hyvä koti, missä sujuva arki.",Kontu Isännöinti Oy,
uusiolampo.fi,B_ads_no_conv_tracking,S2_advertiser,hvac,keywords,0.5,vilkas_epages,,False,,True,False,,True,,False,False,1,False,False,False,False,True,,2804,"Maalämpöpumput, lämpöpumput | Raahe, Oulu, | Uusiolämpö Oy Raahe",Uusiolämpö Oy Raahe,
tjairtec.fi,B_ads_no_conv_tracking,S1_webshop,hvac,keywords,0.5,vilkas_epages,verifone,True,,True,False,,True,,False,False,1,False,False,False,False,True,,3014,Ilmanvaihtotyöt yrityksille - TJ-Airtec Oy,TJ-Airtec Oy,
sahkoasennus-ristimaki.fi,B_ads_no_conv_tracking,S2_advertiser,electrical,keywords,0.5,vilkas_epages,,False,,True,False,,True,,False,False,0,False,False,False,False,False,,2400,Sähköurakointi Turku | Sähköasennus Ristimäki Oy,Sähköasennus Ristimäki Oy,
ek-asennustekniikka.fi,B_ads_no_conv_tracking,S3_chat_switcher,plumbing,keywords,0.5,vilkas_epages,,False,giosg,True,False,,True,,False,False,0,False,False,False,False,False,,1930,"LVIS-työt Kemi | Sähkö-, putki- ja ilmastointityöt",EK-Asennustekniikka,
