score,run,niche,niche_source,niche_confidence,company,domain,segment,revenue_eur,employees,y_tunnus,google_ads,conv_tracking,meta_pixel,quality_issues,issue_flags,platform,email,phone,city,google_verified_live,google_advertiser_name,ads_status,advertiser_reconciliation,advertiser_match_score
61,resultsd,restaurant,keywords,0.5,MMK-Kuljetus - MMK-Kuljetus Oy,mmkkuljetus.fi,A_ads_weak_site,,,,True,False,True,2,"no_meta_description,slow_response",wordpress,,,,True,0100100 Solutions Oy,ADVERTISER_MISMATCH,mismatch,0.21
61,resultsd,cleaning,keywords,0.5,Siivouspalvelu Kota - Kotisiivous &amp; Yrityssiivous - Turk,siivouspalvelukota.fi,A_ads_weak_site,,,,True,False,True,2,"no_h1,slow_response",wordpress,,,,True,Siivouspalvelu Kota Oy,LIVE_CONFIRMED,match,1.00
61,resultsd,insurance,keywords,0.5,"Vääksyn Konepiste – Lahti Vääksy | Veneet, perämoottorit, ve",venekauppa.com,A_ads_weak_site,,,,True,False,True,2,"stale_copyright,slow_response",,,,,True,Vääksyn Konepiste Oy,LIVE_CONFIRMED,match,1.00
55,resultsd,,none,0.0,Yksityinen kotihoito ja kotipalvelut | Alina | Kotona paras,alinahoivatiimi.fi,B_ads_no_conv_tracking,,,,True,False,True,1,no_h1,,,,,True,Alina Hoivatiimi Oy,LIVE_CONFIRMED,match,0.90
55,resultsd,cleaning,keywords,0.5,Siivous Tampere ja Pirkanmaa | Hämeen Laatusiivous Oy,hameenlaatusiivous.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,,True,Hämeen Laatusiivous Oy,LIVE_CONFIRMED,match,1.00
55,resultsd,,none,0.0,Maarakennus Pohjois-Pohjamaa | Luotettavat tekijät,jsinfra.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,,,,,True,JS-Automoto Oy,ADVERTISER_MISMATCH,mismatch,0.33
55,resultsd,,none,0.0,Maanrakennus Oulu | Myös vaihtolavojen vuokraus,koneurakointihartikka.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,,,,,True,Koneurakointi Hartikka avoin yhtiö,ADVERTISER_MISMATCH,mismatch,0.32
55,resultsd,hvac,keywords,0.65,LVI-Asiantuntija Oy | LVI-Asiantuntijasi Etelä-Pohjanmaalla,lviasiantuntija.fi,B_ads_no_conv_tracking,,,,True,False,True,1,stale_copyright,wordpress,,,,True,LVI-Asiantuntija Oy,LIVE_CONFIRMED,match,1.00
55,resultsd,cleaning,keywords,0.5,Siivouspalvelut Espoo | Koti- ja yrityssiivousta,mmsiivouspalvelut.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,,,,,True,Fonecta Oy,LIVE_CONFIRMED,likely_agency,0.20
55,resultsd,hotel,keywords,0.65,Siivouspalvelut yrityksille | N-Clean Oy,nclean.fi,B_ads_no_conv_tracking,,,,True,False,True,1,stale_copyright,wordpress,,,,True,N-Clean Oy,LIVE_CONFIRMED,match,1.00
55,resultsd,,none,0.0,Maijasto,maijasto.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,squarespace,,,,True,Maijasto Oy,LIVE_CONFIRMED,match,1.00
55,resultsd,,none,0.0,Lattialämmitys tuo lämpöä ja viihtyisyyttä kotiin | Nero Lat,neroll.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,,True,Nero Lattialämmitys Oy,LIVE_CONFIRMED,match,0.90
55,resultsd,accounting,keywords,0.5,Isännöintitoimisto ja isännöitsijä Tampereella taloyhtiöille,rehti-isannointi.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,,,,,True,Fonecta Oy,LIVE_CONFIRMED,likely_agency,0.09
55,resultsd,restaurant,keywords,0.5,Laatu ei ole makuasia. | Puustelli,puustelli.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,,,,,True,Puustelli Group Oy,LIVE_CONFIRMED,match,0.90
55,resultsd,cleaning,keywords,0.5,Siivoova Oy - Siivouspalvelut Kuopiossa ja Oulussa,siivoova.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,,True,Siivoova Oy,LIVE_CONFIRMED,match,1.00
55,resultsd,electrical,keywords,0.5,Sähköliike Joensuussa - S&auml;hk&ouml;-Saarelainen Oy,sahkosaarelainen.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,,True,Sähkö-Saarelainen Oy,LIVE_CONFIRMED,match,1.00
55,resultsd,cleaning,keywords,0.5,Luotettavaa siivouspalvelua yrityksille ja koteihin | TJ Sii,tjsiivous.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,,True,TJ Remontit Oy,ADVERTISER_MISMATCH,mismatch,0.47
55,resultsd,cleaning,keywords,0.5,Iloinen ja reipas siivouspalvelu Tampereella - Urhopesu,urhopesu.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,,True,Urhopesu Oy,LIVE_CONFIRMED,match,1.00
55,resultsd,cleaning,keywords,0.5,Teemme puhtaamman huomisen – Winclean,winclean.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,,True,Winclean Oy,LIVE_CONFIRMED,match,1.00
54,resultsd,hvac,keywords,0.65,Heatco Finland Oy on insinööritoimisto ja LVI-järjestelmien ,heatco.fi,A_ads_weak_site,,,,True,True,True,2,"no_h1,slow_response",wordpress,,,,True,Heatco Finland Oy,LIVE_CONFIRMED,match,0.90
54,resultsd,,none,0.0,"Luotettavat isännöintipalvelut | Siellä hyvä koti, missä suj",kontuoy.fi,A_ads_weak_site,,,,True,True,True,2,"stale_copyright,slow_response",wordpress,,,,True,MTR-Isännöinti Oy,ADVERTISER_MISMATCH,mismatch,0.55
54,resultsd,electrical,keywords,0.5,Meredin,meredin.fi,A_ads_weak_site,,,,True,True,True,2,"no_h1,slow_response",,,,,True,Marina Pargas Ab,ADVERTISER_MISMATCH,mismatch,0.40
54,resultsd,cleaning,keywords,0.5,Siivouspalvelu kotiin | Jopa 3 tuntia ilmaiseksi | Omenasiiv,omenasiivous.fi,A_ads_weak_site,,,,True,True,True,2,"no_h1,slow_response",wordpress,,,,False,,TAG_STALE_OR_HIDDEN,n/a,
49,resultsd,,none,0.0,Venehuolto Mikkeli | Myös palvelut veneen säilytykseen,ahmamotor.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,,True,Fonecta Oy,LIVE_CONFIRMED,likely_agency,0.24
49,resultsd,,none,0.0,Isännöinti Laukaa | Täyden palvelun isännöintitoimisto,asuville.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,,True,Fonecta Oy,LIVE_CONFIRMED,likely_agency,0.25
49,resultsd,plumbing,keywords,0.5,"LVIS-työt Kemi | Sähkö-, putki- ja ilmastointityöt",ek-asennustekniikka.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,,True,Mediaplaani Oy,ADVERTISER_MISMATCH,mismatch,0.32
49,resultsd,,none,0.0,Kaivuut Naantali | Kattavat kaivuutyöt Naantalin seudulle,kaivuujakuljetusptmakela.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,,True,Mediaplaani Oy,ADVERTISER_MISMATCH,mismatch,0.37
